artifact_size,beta,correct,delta,duration,filter_noise,filter_radius,filter_radius_noise,filter_samples,gamma,526,grain,image_samples,intensity,intensityChange,is_reference,label,line_angle,nTrials,pThreshold,questTrialId,selection,startVal,startValSd,stopInterval,user,velocity,x,y
8,3.5,1,0.01,0.700841188430786,0,135,0,100,0.5,892,0.1,1,0.175558554533551,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.564067840576172,0,135,0,100,0.5,893,0.1,1,0.172602160487491,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.600198030471802,0,135,0,100,0.5,894,0.1,1,0.170134135775232,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.601277589797974,0,135,0,100,0.5,895,0.1,1,0.168064851589815,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.50423264503479,0,135,0,100,0.5,896,0.1,1,0.166320560329485,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,0.780686855316162,0,135,0,100,0.5,897,0.1,1,0.164840253036612,decrease,True,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,56,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,3.9356701374054,0,135,0,100,0.5,908,0.1,1,0.194871022655419,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,67,image,0.6,0.4,0.1,ab,0,489.517333984375,381.923217773437
8,3.5,0,0.01,1.52588224411011,0,135,0,100,0.5,941,0.1,1,0.223371719606975,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,68,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,1.80184125900269,0,135,0,100,0.5,942,0.1,1,0.21460845428919,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,69,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.764506816864014,0,135,0,100,0.5,943,0.1,1,0.204328889424516,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,70,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.04111337661743,0,135,0,100,0.5,944,0.1,1,0.19540948738488,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,71,image,0.6,0.4,0.1,ab,0,469.922607421875,681.390258789063
8,3.5,0,0.01,1.82570457458496,0,135,0,100,0.5,982,0.1,1,0.223432417603353,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,72,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.614185094833374,0,135,0,100,0.5,983,0.1,1,0.214973704230079,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,73,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.968772411346436,0,135,0,100,0.5,984,0.1,1,0.205020739958564,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,74,none,0.6,0.4,0.1,ab,0,,
8,3.5,0,0.01,0.671503067016602,0,135,0,100,0.5,985,0.1,1,0.195942585105196,decrease,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,75,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.92455339431763,0,135,0,100,0.5,986,0.1,1,0.18961039524936,increase,False,artifact8-angle16-noise0-speed0.0-samples1,0.279252680319093,50,0.82,76,image,0.6,0.4,0.1,ab,0,491.466552734375,629.209838867188
8,3.5,1,0.01,1.81646275520325,0,125,0,100,0.5,544,0.1,1,0.6,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.72392439842224,0,125,0,100,0.5,545,0.1,1,0.52160602103175,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.54446315765381,0,125,0,100,0.5,546,0.1,1,0.422663765300366,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.41433954238892,0,125,0,100,0.5,547,0.1,1,0.339081589757904,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,1.51418018341064,0,125,0,100,0.5,548,0.1,1,0.263106634003767,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,3.00830793380737,0,125,0,100,0.5,549,0.1,1,0.201104070625511,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
8,3.5,1,0.01,2.43071579933166,0,125,0,100,0.5,550,0.1,1,0.145326569933426,decrease,True,artifact8-angle29-noise0-speed0.0-samples1,0.506145483078356,50,0.82,0,none,0.6,0.4,0.1,ab,0,,
